HEADER,INDEX,NAME,UNIT,DESCRIPTION
F_BUS,1,f,,From bus number
T_BUS,2,t,,To bus number
BR_R,3,r,p.u.,Resistance
BR_X,4,x,p.u.,Reactance
BR_B,5,b,p.u.,Total line charging susceptance
RATE_A,6,rateA,MVA,MVA rating A (long term rating)
RATE_B,7,rateB,MVA,MVA rating B (short term rating)
RATE_C,8,rateC,MVA,MVA rating C (emergency rating)
TAP,9,ratio,,Transformer off nominal turns ratio
SHIFT,10,angle,degrees,Transformer phase shift angle
BR_STATUS,11,,,"Initial branch status, 1 - in service; 0 - out of service"
ANGMIN,12,,degrees,Minimum angle difference; angle(Vf) - angle(Vt)
ANGMAX,13,,degrees,Maximum angle difference; angle(Vf) - angle(Vt)
PF,14,,MW,Real power injected at "from" bus end
QF,15,,MVAr,Reactive power injected at "from" bus end
PT,16,,MW,Real power injected at "to" bus end
QT,17,,MVAr,Reactive power injected at "to" bus end
MU_SF,18,,u/MVA,Kuhn-Tucker multiplier on MVA limit at "from" bus
MU_ST,19,,u/MVA,Kuhn-Tucker multiplier on MVA limit at "to" bus
MU_ANGMIN,20,,u/degree,Kuhn-Tucker multiplier lower angle difference limit
MU_ANGMAX,21,,u/degree,Kuhn-Tucker multiplier upper angle difference limit
